Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Transmission_Manual,Fuel_Type_Petrol,First_Owner
2010,60000,Petrol,Manual,Third,14.3,1798,160,5,3500,1,1,0
2014,33496,Petrol,Manual,First,18.9,1197,81.86,5,5500,1,1,1
2015,25000,Petrol,Manual,First,18.6,1197,81.83,5,5650,1,1,1
2013,71000,Diesel,Manual,First,18.2,1248,73.8,8,3250,1,0,1
2015,20826,Petrol,Automatic,First,14.3,1598,103.6,5,7720,0,1,1
2016,42244,Diesel,Manual,First,19.67,1582,126.2,5,12000,1,0,1
2013,98598,Diesel,Manual,First,25.44,936,57.6,5,1550,1,0,1
2011,62100,Diesel,Manual,First,11.5,2982,171,7,10750,1,0,1
2016,44238,Petrol,Manual,First,18.6,1197,81.83,5,6720,1,1,1
2012,91743,Diesel,Automatic,First,12.07,2967,241.4,7,28550,0,0,1
2013,19828,Diesel,Automatic,Second,17.85,2967,300,4,75000,0,0,0
2016,36891,Petrol,Manual,First,17.8,1497,117.3,5,10490,1,1,1
2012,90049,Diesel,Manual,First,17.21,1493,100,7,3800,1,0,1
2012,74002,Diesel,Automatic,First,16.55,1968,140,5,18500,0,0,1
2013,41000,Petrol,Automatic,First,12.37,2359,198.25,5,6000,0,1,1
2012,83678,Diesel,Manual,First,22.32,1582,126.32,5,5500,1,0,1
2010,91000,Petrol,Manual,First,18.9,998,67.1,5,2300,1,1,1
2016,50000,Diesel,Manual,First,24.52,1248,88.5,7,8700,1,0,1
2015,58000,Diesel,Manual,First,24.4,1120,71.01,5,4950,1,0,1
2012,80000,Diesel,Manual,First,22.9,1248,74,5,4250,1,0,1
2017,41290,Diesel,Manual,Second,16,2179,140,7,10940,1,0,0
2013,65000,Diesel,Automatic,First,22.48,1995,190,5,21260,0,0,1
2016,16471,Petrol,Manual,Second,14.28,1798,138.03,5,11500,1,1,0
2015,54339,Diesel,Manual,Second,22.54,1396,88.73,5,6000,1,0,0
2016,24025,Petrol,Manual,First,18.15,1198,82,6,4100,1,1,1
2013,24027,Petrol,Manual,First,24.7,796,47.3,5,2010,1,1,1
2010,59270,Petrol,Manual,First,15.7,1172,67,5,2600,1,1,1
2012,40000,Petrol,Manual,First,18.9,998,67.1,5,2350,1,1,1
2012,155566,Diesel,Manual,Second,9.5,2835,118.6,6,9150,1,0,0
2013,42320,Petrol,Manual,First,19.4,1198,86.8,5,2900,1,1,1
2017,24153,Diesel,Manual,Second,22.54,1396,88.73,5,9180,1,0,0
2016,27000,Petrol,Automatic,First,13,1591,121.3,5,11450,0,1,1
2012,92000,CNG,Manual,Second,26.83,796,38.4,5,2100,1,0,0
2017,61795,Petrol,Manual,First,17.8,1198,86.7,5,5530,1,1,1
2016,13500,Petrol,Manual,First,18.15,1198,82,6,3750,1,1,1
2018,4500,Petrol,Automatic,First,18,1497,117.3,5,12500,0,1,1
2017,23000,Diesel,Automatic,First,16,2179,140,7,15500,0,0,1
2013,80578,Diesel,Automatic,Second,14.84,2143,170,5,14500,0,0,0
2017,42646,Diesel,Automatic,First,19.6,1461,108.45,5,12460,0,0,1
2014,30000,Petrol,Manual,Second,16.47,1198,74,5,5250,1,1,0
2009,98000,Diesel,Automatic,Second,13.5,2987,282,5,25000,0,0,0
2012,50000,Diesel,Automatic,First,12.9,2993,271.23,4,45000,0,0,1
2015,63310,Diesel,Manual,First,28.4,1248,74,5,5100,1,0,1
2014,66000,Diesel,Manual,First,25.8,1498,98.6,5,3500,1,0,1
2011,74000,Diesel,Automatic,Second,16.07,1995,181,5,12500,0,0,0
2012,93000,Diesel,Manual,First,23.5,1396,88.7,5,5550,1,0,1
2015,70000,Diesel,Automatic,First,11.5,2982,169,7,19480,0,0,1
2012,48772,Petrol,Manual,First,18.6,1197,85.8,5,3910,1,1,1
2010,66000,Petrol,Manual,First,18.6,1199,79.4,5,2190,1,1,1
2017,27417,Petrol,Automatic,First,18.9,1197,82,5,6890,0,1,1
2011,51593,Petrol,Manual,Second,15.6,1196,70,5,3470,1,1,0
2010,75000,Petrol,Manual,First,16.1,1298,88.2,5,2850,1,1,1
2016,39237,Diesel,Automatic,First,17.11,1968,174.33,5,25640,0,0,1
2018,11966,Petrol,Manual,First,16.8,1497,116.3,5,10280,1,1,1
2015,37000,Petrol,Manual,First,18.2,1199,88.7,5,6300,1,1,1
2014,70920,Diesel,Manual,First,20.14,1498,88.8,5,4750,1,0,1
2013,65280,Diesel,Manual,First,19.87,1461,83.14,5,5800,1,0,1
2016,62000,Diesel,Automatic,First,12.51,2179,187.7,7,44500,0,0,1
2014,44525,Petrol,Manual,First,18.5,1197,82.9,5,4650,1,1,1
2009,86863,Petrol,Manual,First,17,1497,118,5,3600,1,1,1
2015,102626,Diesel,Manual,First,16,2179,140,7,12250,1,0,1
2017,45000,Diesel,Manual,First,16.3,1956,170,5,20000,1,0,1
2017,22000,Diesel,Manual,First,16,2179,140,7,16000,1,0,1
2011,108905,Diesel,Automatic,Second,11.79,2179,120,8,6210,0,0,0
2016,12800,Petrol,Manual,First,19.44,1198,67,7,3250,1,1,1
2016,32000,Diesel,Manual,First,15.4,2179,120,7,9750,1,0,1
2014,39000,Petrol,Automatic,First,15.5,1198,86.7,5,4450,0,1,1
2017,42000,Diesel,Manual,First,25.6,1498,98.6,5,12000,1,0,1
2008,73000,Petrol,Manual,First,14.4,1396,65,5,800,1,1,1
2018,48000,Diesel,Manual,First,24,1186,73.97,5,5950,1,0,1
2015,18000,CNG,Manual,First,33.44,796,40.3,4,3000,1,0,1
2014,19000,Petrol,Manual,First,17.43,1396,105.5,5,5250,1,1,1
2019,33598,Diesel,Manual,First,13.68,2393,147.8,7,22200,1,0,1
2012,63000,Diesel,Automatic,First,17.05,1995,184,5,13500,0,0,1
2015,48000,Diesel,Automatic,First,16.96,1968,138.03,5,13500,0,0,1
2014,66000,Diesel,Manual,First,20,1399,68.05,5,3470,1,0,1
2013,80000,Diesel,Automatic,Second,11.18,2696,184,7,9500,0,0,0
2011,37000,Petrol,Manual,First,15.04,1598,103.6,5,4800,1,1,1
2016,35058,Petrol,Manual,First,15,1598,103.52,5,6540,1,1,1
2012,52000,Petrol,Manual,First,16.47,1198,73.9,5,3100,1,1,1
2015,61313,Diesel,Manual,First,23.65,1248,88.5,5,7990,1,0,1
2009,45000,Petrol,Manual,Second,14.53,1798,138.1,5,3300,1,1,0
2015,74000,Diesel,Manual,First,20.77,1248,88.8,7,8750,1,0,1
2013,89000,Petrol,Automatic,First,19.2,1197,80,5,4190,0,1,1
2019,13414,Diesel,Automatic,First,17.9,2143,136,5,30770,0,0,1
2006,95000,Petrol,Manual,Second,16.9,1497,100,5,2110,1,1,0
2018,15900,Petrol,Manual,First,18.15,1198,82,6,6250,1,1,1
2011,151000,Diesel,Manual,First,11.5,2982,171,7,11400,1,0,1
2011,65000,Petrol,Manual,First,17,1497,118,5,5200,1,1,1
2017,36824,Diesel,Automatic,First,18.53,1968,187.74,5,39840,0,0,1
2013,65287,Diesel,Manual,First,20,1399,68.05,5,4450,1,0,1
2014,52000,Diesel,Automatic,First,17.9,2143,136,5,19500,0,0,1
2007,33000,Petrol,Manual,First,15.26,1150,74.9,5,1750,1,1,1
2016,71000,Diesel,Manual,First,25.83,1498,99,5,5100,1,0,1
2013,71000,Diesel,Automatic,First,22.7,1582,126.2,5,6800,0,0,1
2016,20000,Petrol,Automatic,First,21.4,1197,83.1,5,5740,0,1,1
2010,71000,Petrol,Manual,First,16.1,1197,85,5,3300,1,1,1
2010,29000,Diesel,Automatic,First,9.9,3498,271.72,4,32000,0,0,1
2016,27000,Diesel,Automatic,First,21.76,1995,190,5,35000,0,0,1
2017,19000,Diesel,Automatic,First,28.4,1248,73.75,5,8900,0,0,1
2011,58000,Petrol,Manual,Second,17.01,1591,121.3,5,4000,1,1,0
2018,42203,Diesel,Manual,First,17.1,1956,170,5,19460,1,0,1
2009,94000,Diesel,Automatic,First,11.4,1991,142,5,5250,0,0,1
2013,52000,CNG,Manual,Second,15.1,1196,73,5,2600,1,0,0
2018,4900,Diesel,Manual,First,21.5,1497,108.5,5,9220,1,0,1
2013,70000,Petrol,Manual,First,21.1,814,55.2,5,1800,1,1,1
2015,65266,Diesel,Automatic,First,14.69,2993,258,5,31750,0,0,1
2014,54569,Diesel,Manual,First,20.77,1248,88.76,7,5990,1,0,1
2015,51361,Petrol,Manual,First,18,1198,86.7,5,4940,1,1,1
2007,125000,Petrol,Manual,Third,16.6,1388,68,5,1500,1,1,0
2008,66000,Petrol,Manual,Third,13.5,1799,130,5,3250,1,1,0
2007,65047,LPG,Manual,First,17.3,1061,57.5,5,1950,1,0,1
2014,22281,Diesel,Manual,First,20.77,1248,88.8,7,6500,1,0,1
2013,63210,Diesel,Manual,First,24,1120,70,5,3710,1,0,1
2018,31000,Petrol,Manual,First,20.14,1197,81.86,5,5000,1,1,1
2008,60000,Petrol,Manual,First,19.81,1086,68.05,5,1990,1,1,1
2017,32006,Petrol,Manual,First,18,1198,86.7,5,4250,1,1,1
2009,78000,Diesel,Automatic,First,12.4,2698,179.5,5,8000,0,0,1
2011,9489,Petrol,Manual,First,20.36,1197,78.9,5,2950,1,1,1
2018,5000,Petrol,Manual,First,25.17,799,53.3,5,3500,1,1,1
2012,60000,Diesel,Automatic,Second,15.2,1968,140.8,5,16000,0,0,0
2015,50000,Petrol,Manual,First,22.74,796,47.3,5,2750,1,1,1
2015,53000,Petrol,Manual,First,17.8,1497,117.3,5,6950,1,1,1
2011,64000,Petrol,Automatic,Second,11.74,1796,186,5,12500,0,1,0
2017,43827,Diesel,Automatic,First,13.22,2967,241.4,5,36830,0,0,1
2011,36431,Petrol,Manual,First,16.2,1199,74,5,2700,1,1,1
2017,35000,Diesel,Manual,First,21.38,1396,88.7,5,9900,1,0,1
2011,94832,Petrol,Manual,First,17,1497,118,5,3830,1,1,1
2012,88381,Petrol,Manual,First,17,1497,118,5,5250,1,1,1
2016,45194,Diesel,Manual,First,22.7,1598,118,5,7750,1,0,1
2010,66000,Petrol,Manual,Second,16.51,1586,103.2,5,2460,1,1,0
2014,38578,Diesel,Manual,First,23.4,1248,74,5,3960,1,0,1
2015,40000,Diesel,Manual,First,20.77,1248,88.8,7,8250,1,0,1
2018,20632,Petrol,Manual,First,18.6,1197,81.83,5,7580,1,1,1
2014,73042,Diesel,Manual,First,24,1120,70,5,3990,1,0,1
2014,54257,Petrol,Manual,First,17.4,1497,117.3,5,6250,1,1,1
2013,93000,Diesel,Manual,First,20.5,1598,103.5,5,5000,1,0,1
2005,102000,Diesel,Automatic,Second,11,2987,198.5,5,4650,0,0,0
2016,28881,Diesel,Automatic,First,13.01,2199,194.3,7,21370,0,0,1
2007,52195,Petrol,Manual,First,19.7,796,46.3,5,1750,1,1,1
2018,20422,Diesel,Manual,First,12.4,2499,134,5,16090,1,0,1
2012,38000,Diesel,Manual,First,24.8,1396,88.7,5,4100,1,0,1
2015,92885,Diesel,Manual,First,20,1399,68,5,3560,1,0,1
2010,43000,Petrol,Manual,Second,17,1497,118,5,4210,1,1,0
2015,57000,Diesel,Manual,First,23.9,1582,126.2,5,6600,1,0,1
2018,32434,Petrol,Automatic,First,13,1591,121.3,5,14350,0,1,1
2017,32000,Diesel,Manual,First,22.7,1498,89.84,5,9500,1,0,1
2011,59000,Diesel,Automatic,First,11.2,2993,241,4,21900,0,0,1
2016,76467,Diesel,Automatic,First,18.12,1995,190,5,30450,0,0,1
2016,100000,Diesel,Manual,First,25.83,1498,99,5,5100,1,0,1
2013,37086,Petrol,Automatic,First,17,1591,121.3,5,5440,0,1,1
2010,135000,Diesel,Manual,First,13.8,1399,68,5,1600,1,0,1
2014,54862,Diesel,Automatic,First,17.68,1968,174.33,5,16670,0,0,1
2012,56200,Petrol,Automatic,First,15,1396,98.6,5,3850,0,1,1
2011,169006,Diesel,Manual,First,14.24,2755,174.5,7,10640,1,0,1
2016,20229,Petrol,Manual,First,25.17,799,53.3,5,3500,1,1,1
2008,62000,Petrol,Manual,Third,18,995,62,5,1100,1,1,0
2011,51500,Petrol,Manual,Second,16.2,1599,103.2,5,2600,1,1,0
2012,69000,Diesel,Automatic,First,18.88,1995,184,5,18500,0,0,1
2015,62476,Diesel,Manual,First,26.59,1248,74,5,7950,1,0,1
2017,60500,Diesel,Manual,First,25.4,1186,73.97,5,5490,1,0,1
2017,17978,Petrol,Automatic,First,19,1199,88.7,5,6950,0,1,1
2008,300000,Diesel,Manual,First,17,1405,70,5,1000,1,0,1
2013,123000,Diesel,Manual,Second,17.8,1399,67,5,4450,1,0,0
2016,45296,Diesel,Manual,First,25.1,1248,88.5,5,6990,1,0,1
2008,77325,Petrol,Manual,First,15.6,1586,104.68,5,3510,1,1,1
2018,25858,Petrol,Automatic,First,21.4,1197,83.1,5,7540,0,1,1
2016,120000,Diesel,Manual,First,23.2,1248,73.94,5,3650,1,0,1
2016,22000,Diesel,Automatic,First,19.5,1582,126.24,5,16000,0,0,1
2012,11000,Petrol,Manual,First,16.2,995,62.1,5,1400,1,1,1
2017,3900,Petrol,Manual,First,18.6,1197,81.83,5,6450,1,1,1
2016,106092,Diesel,Manual,First,24.4,1120,71,5,4400,1,0,1
2015,27000,Petrol,Automatic,First,19,1199,88.7,5,5950,0,1,1
2013,11000,Petrol,Manual,First,19.4,1198,86.8,5,3900,1,1,1
2016,39753,Diesel,Automatic,First,13,2143,201.1,5,35280,0,0,1
2017,39800,Diesel,Manual,First,17.6,2179,153.86,7,14250,1,0,1
2017,73000,Diesel,Manual,First,24.4,1120,71,5,4500,1,0,1
2015,55000,Diesel,Manual,First,22.7,1498,89.84,5,7500,1,0,1
2017,18351,Petrol,Automatic,First,21.9,624,37.48,4,3410,0,1,1
2013,45000,Petrol,Manual,Second,19.4,1198,86.8,5,3250,1,1,0
2016,112200,Diesel,Manual,First,24.52,1248,88.5,7,8300,1,0,1
2010,29000,Petrol,Manual,First,20.36,1197,78.9,5,3450,1,1,1
2015,53392,Diesel,Manual,First,16,2179,140,7,11950,1,0,1
2010,71000,Diesel,Manual,First,20.54,1598,103.6,5,4250,1,0,1
2014,93000,Diesel,Manual,First,14,2179,138.1,7,8250,1,0,1
2010,119000,Petrol,Manual,First,10.2,2354,180,5,5950,1,1,1
2016,42225,Petrol,Manual,First,15.1,1196,73,7,4300,1,1,1
2012,65000,Diesel,Manual,First,22.9,1248,74,5,3900,1,0,1
2016,27809,Petrol,Automatic,First,21.4,1197,83.1,5,6410,0,1,1
2015,65100,Diesel,Manual,First,15.1,2179,140,7,8360,1,0,1
2014,51000,Petrol,Manual,First,19.1,1197,82,5,3850,1,1,1
2017,10000,Diesel,Automatic,First,19.27,2143,167.62,5,36000,0,0,1
2011,54895,Petrol,Manual,First,13.14,1798,160,5,7500,1,1,1
2015,80768,Diesel,Manual,First,20.14,1498,88.73,5,5700,1,0,1
2019,12076,Petrol,Manual,First,20.89,1197,81.8,5,5500,1,1,1
2016,49000,Diesel,Manual,First,25.2,1248,74,5,5900,1,0,1
2015,42366,Petrol,Manual,First,17.8,1497,117.3,5,7750,1,1,1
2010,68000,Diesel,Automatic,First,11.5,2993,235,5,18000,0,0,1
2008,122397,Diesel,Manual,First,17.5,1896,106,5,4400,1,0,1
2017,50534,Petrol,Automatic,First,17.21,1197,103.5,5,8270,0,1,1
2014,55300,Diesel,Manual,First,19.87,1461,83.8,5,4750,1,0,1
2008,73095,Petrol,Automatic,First,16.8,1497,118,5,3800,0,1,1
2011,51100,Diesel,Manual,First,20.54,1598,103.6,5,3400,1,0,1
2016,13436,Petrol,Manual,Second,18.9,1197,82,5,4700,1,1,0
2008,76000,Petrol,Manual,Second,16.6,1388,68,5,1490,1,1,0
2016,63141,Diesel,Manual,Second,24.4,1120,71,5,4500,1,0,0
2014,74885,Diesel,Manual,First,25.8,1498,98.6,5,5400,1,0,1
2016,14000,Petrol,Automatic,First,18,1497,117.3,5,11500,0,1,1
2012,56000,Diesel,Manual,Second,20.4,1461,108.5,5,3500,1,0,0
2010,46000,Diesel,Automatic,First,22.48,1995,190,5,16500,0,0,1
2012,51800,Petrol,Manual,First,15.5,1586,103.3,5,3900,1,1,1
2007,81000,Petrol,Automatic,First,16.4,1497,78,5,3250,0,1,1
2018,17370,Petrol,Manual,First,17,1198,73.75,5,5840,1,1,1
2016,18456,Petrol,Manual,First,17,1198,73.75,5,5750,1,1,1
2010,59000,Diesel,Automatic,First,16.55,1968,140,5,10000,0,0,1
2006,141537,Petrol,Manual,Second,18.9,998,67.1,5,1050,1,1,0
2013,51000,Diesel,Automatic,First,19.08,1582,126.32,5,5640,0,0,1
2019,29311,Diesel,Automatic,First,17.9,2143,170,5,50970,0,0,1
2016,31000,Diesel,Automatic,First,21.76,1995,190,5,29950,0,0,1
2014,80000,Diesel,Manual,Second,24.2,1498,98.6,7,4850,1,0,0
2016,33000,Diesel,Automatic,First,17.01,1582,126.2,5,14500,0,0,1
2011,71556,Petrol,Manual,First,17,1497,118,5,5500,1,1,1
2011,85000,Diesel,Manual,First,17.8,1399,68,5,3200,1,0,1
2016,91000,Diesel,Manual,First,26.59,1248,74,5,4500,1,0,1
2015,73187,Diesel,Automatic,First,13,2143,204,5,30720,0,0,1
2009,232000,Diesel,Manual,First,11.5,1991,147.9,7,3500,1,0,1
2007,127079,Diesel,Manual,First,12.8,2494,102,7,6990,1,0,1
2014,58816,Diesel,Manual,First,17.21,1493,100,7,3450,1,0,1
2015,63818,Petrol,Manual,First,17.4,1497,117.3,5,6570,1,1,1
2014,40000,Diesel,Automatic,First,17.11,1968,174.33,5,17500,0,0,1
2013,77445,Diesel,Manual,First,22.07,1199,73.9,5,3750,1,0,1
2017,14000,Petrol,Automatic,First,14.8,1497,121.36,5,9990,0,1,1
2012,85122,Diesel,Manual,First,12.99,2494,100,7,8200,1,0,1
2005,123000,Petrol,Manual,Third,13,1493,100,5,1100,1,1,0
2015,61000,CNG,Manual,First,22.1,1586,85.7,5,3890,1,0,1
2015,63714,Petrol,Manual,First,24.7,796,47.3,5,2450,1,1,1
2009,53000,Diesel,Automatic,First,8.7,2987,224.34,5,13750,0,0,1
2017,60000,Diesel,Manual,First,26.59,1248,74,5,3000,1,0,1
2017,33000,Diesel,Manual,First,24.3,1248,88.5,5,9250,1,0,1
2013,31000,Diesel,Automatic,First,13.2,2400,215,5,17650,0,0,1
2014,79000,Diesel,Automatic,First,12.55,2982,168.5,7,18250,0,0,1
2013,67914,Diesel,Manual,First,23,1396,90,5,3450,1,0,1
2015,58970,Diesel,Automatic,First,17.11,1968,174.33,5,23750,0,0,1
2013,60000,Diesel,Manual,Second,19.64,1461,108.5,5,5450,1,0,0
2017,35225,Petrol,Automatic,First,23.1,998,67.04,5,5250,0,1,1
2012,62282,Petrol,Automatic,First,16.95,1197,78.9,5,2900,0,1,1
2010,80000,Diesel,Automatic,First,22.69,1995,190,5,14200,0,0,1
2018,43698,Petrol,Manual,First,18.9,1197,82,5,5800,1,1,1
2017,28052,Petrol,Automatic,First,18.9,1197,82,5,7220,0,1,1
2016,29091,Petrol,Manual,First,18.9,1197,81.86,5,4870,1,1,1
2013,63000,Petrol,Manual,First,16.47,1198,74,5,3300,1,1,1
2007,91000,Petrol,Manual,Second,17.7,1497,78,5,3000,1,1,0
2014,30000,Diesel,Automatic,First,17.9,2143,136,5,26000,0,0,1
2017,24571,Petrol,Manual,First,14,796,35,5,2900,1,1,1
2014,45000,Petrol,Automatic,First,15.74,1591,121.3,5,7500,0,1,1
2015,24617,Petrol,Manual,First,22.74,796,47.3,5,2360,1,1,1
2017,26927,Diesel,Manual,First,24.3,1248,88.5,5,11390,1,0,1
2013,87736,Diesel,Manual,First,15.1,2179,140,7,7020,1,0,1
2016,35299,Diesel,Manual,First,24.3,1248,88.5,5,8000,1,0,1
2017,51612,Petrol,Manual,First,18.6,1197,81.83,5,7110,1,1,1
1998,55300,Diesel,Automatic,First,10,1796,157.7,5,3900,0,0,1
2009,65090,Petrol,Manual,First,19.7,796,46.3,5,2150,1,1,1
2013,40000,Petrol,Manual,First,18,1198,86.7,5,3250,1,1,1
2015,38467,Diesel,Automatic,First,12.65,2993,255,5,70660,0,0,1
2013,71904,Diesel,Manual,First,24,1120,70,5,4610,1,0,1
2008,87000,Petrol,Manual,First,13.5,1799,130,5,2350,1,1,1
2014,33000,Diesel,Manual,Second,24,1120,70,5,4050,1,0,0
2009,22100,Petrol,Manual,Second,16.1,796,37,4,800,1,1,0
2014,59589,Diesel,Manual,First,23.59,1364,67.1,5,5600,1,0,1
2015,44000,Diesel,Manual,First,22.54,1396,88.73,5,5350,1,0,1
2017,12000,Petrol,Manual,First,24.07,998,67.1,5,3250,1,1,1
2012,66000,Diesel,Automatic,Second,17.05,1995,184,5,11500,0,0,0
2016,38009,Petrol,Automatic,First,23.1,998,67.04,5,4250,0,1,1
2009,35000,Petrol,Automatic,Second,13.7,1798,157.75,5,4450,0,1,0
2009,70000,Diesel,Manual,First,14,2498,112,7,2850,1,0,1
2014,86000,Diesel,Manual,First,15.1,2179,140,7,7850,1,0,1
2016,32000,Petrol,Manual,First,19.1,1197,85.8,5,5300,1,1,1
2017,15000,Petrol,Manual,First,18.88,999,123.24,5,8000,1,1,1
2014,69918,Diesel,Manual,First,21.43,1364,87.2,5,9430,1,0,1
2012,39000,Petrol,Manual,First,18.5,1197,80,5,2750,1,1,1
2018,1011,Diesel,Manual,First,20.37,1461,108.45,5,13500,1,0,1
2009,85000,Diesel,Automatic,First,11,2987,198.5,5,9990,0,0,1
2017,46663,Petrol,Manual,First,21.1,998,100,5,6950,1,1,1
2015,27000,Petrol,Automatic,First,17.97,1498,99.6,5,6750,0,1,1
2015,15000,Petrol,Automatic,First,18.9,1197,82,5,5500,0,1,1
2018,10575,Petrol,Manual,First,21.56,1462,103.25,5,9180,1,1,1
2014,12500,Petrol,Manual,First,19.1,1197,82,5,4150,1,1,1
2012,52000,Diesel,Manual,First,22.32,1582,126.32,5,6500,1,0,1
2015,49818,Petrol,Manual,First,21.5,1197,81.8,5,4110,1,1,1
2008,90000,Diesel,Manual,Second,16.8,1493,110,5,2250,1,0,0
2015,52207,Petrol,Manual,First,17.71,1197,78.9,5,4560,1,1,1
2013,167362,Diesel,Manual,First,11.68,2498,112,7,4000,1,0,1
2015,49894,Diesel,Manual,First,23.59,1364,67.06,5,5270,1,0,1
2019,13024,Diesel,Manual,First,18.06,2523,63,7,9110,1,0,1
2010,128000,Diesel,Manual,Second,14.42,1995,147.6,5,6200,1,0,0
2017,26023,Diesel,Automatic,First,11.36,2755,171.5,7,19970,0,0,1
2016,42784,Diesel,Manual,First,21.38,1396,88.7,5,10170,1,0,1
2014,115000,Diesel,Manual,First,28.4,1248,74,5,4500,1,0,1
2019,30529,Diesel,Manual,First,23.9,1582,126.2,5,14280,1,0,1
2012,14814,Petrol,Manual,Second,19.7,796,46.3,5,2470,1,1,0
2016,58000,Diesel,Manual,First,23.65,1248,88.5,5,7900,1,0,1
2011,68128,Petrol,Manual,First,21.1,814,55.2,5,2300,1,1,1
2013,63220,Petrol,Manual,First,13.24,1598,102.5,5,6500,1,1,1
2016,30000,Petrol,Manual,First,21.1,814,55.2,5,3250,1,1,1
2017,27768,Diesel,Manual,First,20.65,1248,88.7,5,5850,1,0,1
2014,53000,Diesel,Automatic,Second,14.21,2143,203,5,29000,0,0,0
2014,87652,Diesel,Automatic,Second,14.16,1968,174.3,5,25710,0,0,0
2008,94873,Petrol,Manual,Second,15.3,1596,101,5,1850,1,1,0
2015,56000,Diesel,Automatic,First,18.88,1995,184,5,22750,0,0,1
2018,18678,Petrol,Manual,First,21.1,998,100,5,8320,1,1,1
2014,30000,Diesel,Automatic,First,14.21,2143,203,5,26000,0,0,1
2013,59000,Petrol,Manual,First,20.36,1197,78.9,5,3450,1,1,1
2017,13000,Petrol,Manual,First,18.9,1197,82,5,5150,1,1,1
2014,74325,Petrol,Manual,First,19.4,1198,86.8,5,3510,1,1,1
2015,45000,Diesel,Manual,First,21.9,1396,88.76,5,3450,1,0,1
2013,57000,Petrol,Manual,First,16.47,1198,73.9,5,3750,1,1,1
2001,125943,Petrol,Manual,Second,13,1493,100,5,1450,1,1,0
2008,80000,Diesel,Manual,First,18.7,1896,66,5,2200,1,0,1
2010,154000,Diesel,Manual,First,13.1,2499,141,7,7990,1,0,1
2013,62000,Diesel,Manual,Second,18.3,1991,147.9,5,6750,1,0,0
2014,45000,Diesel,Manual,First,24.2,1498,98.6,7,5000,1,0,1
2012,105000,Diesel,Manual,Second,20.77,1248,88.76,7,5900,1,0,0
2013,26000,Petrol,Manual,First,18.9,1197,82,5,3750,1,1,1
2014,30900,Diesel,Automatic,First,14.74,2993,270.9,5,29500,0,0,1
2014,48000,Petrol,Manual,First,18,1198,86.7,5,4750,1,1,1
2011,112719,Diesel,Automatic,First,12.4,2698,179.5,5,11500,0,0,1
2017,5000,Petrol,Manual,First,18.6,1197,81.83,5,6950,1,1,1
2016,16000,Petrol,Manual,First,17,1198,73.75,5,5400,1,1,1
2011,63000,Petrol,Automatic,First,13.4,1997,135.1,5,4750,0,1,1
2011,28300,Petrol,Manual,First,24.07,998,67.1,5,2150,1,1,1
2005,49000,Petrol,Manual,First,19.7,796,46.3,5,900,1,1,1
2016,12501,Petrol,Manual,First,20.51,998,67.04,5,3500,1,1,1
2016,56628,Diesel,Manual,First,20.4,1248,92,5,5850,1,0,1
2010,105000,Diesel,Manual,First,19.3,1248,73.9,5,3150,1,0,1
2016,52126,Diesel,Manual,First,21.64,1461,84.8,5,6000,1,0,1
2010,38000,Petrol,Manual,First,18.5,1197,80,5,2230,1,1,1
2016,50000,Petrol,Manual,First,19.1,1197,82,5,2500,1,1,1
2015,50230,Petrol,Manual,First,18.9,998,67.1,5,3870,1,1,1
2014,31000,Diesel,Manual,First,15.1,2179,140,7,9500,1,0,1
2014,79000,Diesel,Automatic,First,12.55,2982,168.5,7,17750,0,0,1
2012,130000,Diesel,Manual,First,19.64,1461,108.45,5,3750,1,0,1
2010,115000,Petrol,Manual,Second,17.92,1086,62.1,5,1500,1,1,0
2013,41500,Petrol,Manual,Second,17.01,1591,121.3,5,5000,1,1,0
2014,54385,Diesel,Automatic,Second,15.06,1995,177,5,17000,0,0,0
2011,56361,Petrol,Automatic,First,12.9,1799,130,5,4380,0,1,1
2018,22000,Petrol,Automatic,First,15.26,1798,187.74,5,41500,0,1,1
2017,8000,Petrol,Manual,First,20.51,998,67.04,5,3000,1,1,1
2018,28741,Diesel,Manual,First,24.3,1248,88.5,5,11000,1,0,1
2012,117236,Diesel,Automatic,Second,11.8,2720,190,7,14000,0,0,0
2016,30500,Diesel,Automatic,First,26.59,1248,74,5,7650,0,0,1
2018,5000,Petrol,Manual,First,17,1591,121.3,5,8700,1,1,1
2016,42000,Diesel,Manual,First,25.47,1248,88.5,7,9900,1,0,1
2010,32773,Petrol,Manual,First,13.2,1495,94,5,2050,1,1,1
2016,19008,Petrol,Manual,First,17,1197,80,5,5250,1,1,1
2012,32542,Petrol,Manual,First,17,1591,121.3,5,5770,1,1,1
2010,94753,Petrol,Manual,First,19.7,796,46.3,5,1950,1,1,1
2011,70000,Diesel,Manual,Second,12.05,2179,120,8,7450,1,0,0
2012,68347,Petrol,Manual,First,18.9,998,67.1,5,2600,1,1,1
2011,72000,Petrol,Manual,Second,17,1197,80,5,3250,1,1,0
2010,75014,Diesel,Manual,First,21.1,1248,73.9,5,3850,1,0,1
2013,65000,Diesel,Automatic,Second,13.73,1995,148,5,7500,0,0,0
2012,55598,Diesel,Automatic,First,22.69,1995,190,5,11500,0,0,1
2013,50000,Petrol,Manual,First,19.4,1198,86.8,5,3250,1,1,1
2003,44200,Petrol,Manual,Second,11.7,1997,134,5,1500,1,1,0
